City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,79.74,73,26,11.45,scattered clouds
1,Provideniya,RU,64.3833,-173.3,33.66,93,100,19.3,snow
2,Norman Wells,CA,65.282,-126.8329,1.4,66,75,20.71,broken clouds
3,Khandbari,NP,27.3747,87.2039,56.25,42,2,3.62,clear sky
4,Puerto Ayora,EC,-0.7393,-90.3518,84.2,74,20,14.97,light rain
5,General Pico,AR,-35.6566,-63.7568,88.5,32,91,10.65,moderate rain
6,Arya,PK,33.6,73.0667,63.0,66,2,5.5,clear sky
7,Vestmannaeyjar,IS,63.4427,-20.2734,43.97,81,88,25.72,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,80.47,81,100,19.91,moderate rain
9,Thompson,CA,55.7435,-97.8558,42.8,49,20,12.66,few clouds
10,Bien Hoa,VN,10.95,106.8167,78.8,69,40,4.61,scattered clouds
11,Butaritari,KI,3.0707,172.7902,80.69,80,2,11.23,clear sky
12,Basco,PH,20.4487,121.9702,75.74,84,51,19.89,broken clouds
13,Doha,QA,25.2867,51.5333,64.4,59,0,4.61,clear sky
14,Dong Hoi,VN,17.4833,106.6,70.39,92,81,2.46,broken clouds
15,Hobart,AU,-42.8794,147.3294,63.0,82,75,6.91,broken clouds
16,Muros,ES,42.7762,-9.0603,43.0,73,1,15.55,clear sky
17,Albany,US,42.6001,-73.9662,28.99,39,62,13.0,broken clouds
18,Broome,US,42.2506,-75.833,24.8,46,1,11.5,clear sky
19,New Norfolk,AU,-42.7826,147.0587,63.0,75,99,1.74,overcast clouds
20,Salalah,OM,17.0151,54.0924,77.0,50,0,2.3,clear sky
21,Ushuaia,AR,-54.8,-68.3,44.6,70,40,28.77,scattered clouds
22,Monrovia,LR,6.3005,-10.7969,77.0,94,20,8.05,few clouds
23,Saskylakh,RU,71.9167,114.0833,-32.78,83,84,3.74,broken clouds
24,Teykovo,RU,56.858,40.5369,15.8,97,72,3.94,light snow
25,Kavieng,PG,-2.5744,150.7967,82.02,79,100,9.91,moderate rain
26,Taonan,CN,45.3333,122.7833,25.57,78,38,7.61,scattered clouds
27,Karratha,AU,-20.7377,116.8463,80.85,79,2,11.07,clear sky
28,Kodiak,US,57.79,-152.4072,42.8,52,1,12.66,clear sky
29,Ziarat,PK,30.3823,67.7282,38.71,53,0,6.2,clear sky
30,Gaozhou,CN,21.9392,110.8461,68.34,76,98,6.02,overcast clouds
31,Beisfjord,NO,68.3751,17.5988,19.4,86,90,6.04,light snow
32,Port Blair,IN,11.6667,92.75,79.07,77,4,8.34,clear sky
33,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,40,16.11,snow
34,Hilo,US,19.7297,-155.09,75.2,73,75,5.75,broken clouds
35,Port Alfred,ZA,-33.5906,26.891,68.0,89,15,1.01,few clouds
36,Vaini,TO,-21.2,-175.2,86.0,74,75,11.5,light rain
37,Saint George,US,37.1041,-113.5841,75.0,14,1,6.91,clear sky
38,Radenci,SI,46.642,16.0378,32.0,74,52,1.14,broken clouds
39,Ilulissat,GL,69.2167,-51.1,19.4,68,90,11.5,overcast clouds
40,Brae,GB,60.3964,-1.353,41.0,75,75,13.8,broken clouds
41,Tura,IN,25.5198,90.2201,64.62,43,0,3.29,clear sky
42,Bambous Virieux,MU,-20.3428,57.7575,78.01,88,40,5.75,scattered clouds
43,Busselton,AU,-33.65,115.3333,64.0,88,98,1.99,light rain
44,Acapulco,MX,16.8634,-99.8901,84.2,70,1,12.66,clear sky
45,Coaldale,CA,49.7167,-112.6185,48.99,27,40,19.57,scattered clouds
46,Mahebourg,MU,-20.4081,57.7,77.0,88,40,5.75,light rain
47,Poum,NC,-20.2333,164.0167,78.48,74,7,7.18,clear sky
48,Tsabong,BW,-26.0217,22.401,77.9,29,26,11.61,scattered clouds
49,Curumani,CO,9.1999,-73.5427,87.8,51,82,5.73,broken clouds
50,Bluff,NZ,-46.6,168.3333,55.99,69,92,11.99,overcast clouds
51,Khatanga,RU,71.9667,102.5,-30.82,85,88,7.18,overcast clouds
52,Komsomolskiy,UZ,40.4272,71.7189,39.2,81,78,2.3,mist
53,Tamandare,BR,-8.7597,-35.1047,79.21,80,0,9.04,clear sky
54,Elizabeth City,US,36.2946,-76.2511,48.2,34,1,11.5,clear sky
55,Grand Gaube,MU,-20.0064,57.6608,78.01,82,59,1.01,broken clouds
56,Kudahuvadhoo,MV,2.6708,72.8944,82.15,72,2,9.15,clear sky
57,Sur,OM,22.5667,59.5289,73.2,47,0,5.59,clear sky
58,Dayong,CN,25.0209,118.2898,57.2,82,0,8.95,clear sky
59,Lerwick,GB,60.1545,-1.1494,41.0,75,75,13.8,broken clouds
60,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,5.0,43,0,11.18,clear sky
61,Esperance,AU,-33.8667,121.9,62.6,88,90,3.44,overcast clouds
62,Ancud,CL,-41.8697,-73.8203,64.4,55,20,8.05,few clouds
63,Mandalgovi,MN,45.7625,106.2708,24.69,82,0,4.36,clear sky
64,Gravata,BR,-8.2011,-35.5647,71.91,89,0,6.89,clear sky
65,Akonolinga,CM,3.7667,12.25,69.42,94,65,2.91,broken clouds
66,Ixtapa,MX,20.7,-105.2,78.8,65,1,12.66,clear sky
67,Tasiilaq,GL,65.6145,-37.6368,33.8,100,90,40.29,snow
68,Castro,BR,-24.7911,-50.0119,63.21,95,66,6.55,broken clouds
69,Souillac,MU,-20.5167,57.5167,77.0,88,40,5.75,light rain
70,Ngorongoro,TZ,-3.2397,35.4875,52.41,100,88,2.33,overcast clouds
71,Ballina,AU,-28.8667,153.5667,77.0,73,64,8.05,broken clouds
72,Placer,US,39.0666,-120.7677,55.99,48,84,1.99,broken clouds
73,Arrecife,ES,28.963,-13.5477,62.6,67,75,8.05,light intensity drizzle
74,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88,75,2.3,broken clouds
75,Bar Harbor,US,44.3876,-68.2039,30.2,47,1,3.44,clear sky
76,Onverwacht,SR,5.5833,-55.1833,82.4,78,40,12.66,scattered clouds
77,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,21.85,few clouds
78,Kaitangata,NZ,-46.2817,169.8464,55.0,63,94,8.01,moderate rain
79,Pacific Grove,US,36.6177,-121.9166,57.2,67,1,11.5,clear sky
80,Clyde River,CA,70.4692,-68.5914,-22.0,76,13,4.99,few clouds
81,Jamestown,US,42.097,-79.2353,26.01,94,1,4.27,clear sky
82,Yellowknife,CA,62.456,-114.3525,14.0,62,20,11.5,snow
83,Bethel,US,41.3712,-73.414,37.4,32,1,6.91,clear sky
84,Geraldton,AU,-28.7667,114.6,77.0,57,0,16.11,clear sky
85,Uusikaupunki,FI,60.8004,21.4084,23.0,74,90,8.05,light snow
86,Faqirwali,PK,29.4663,73.034,63.05,53,0,8.08,clear sky
87,Puerto Escondido,MX,15.85,-97.0667,82.4,74,20,4.61,few clouds
88,Okahandja,NA,-21.9833,16.9167,66.0,68,53,4.61,broken clouds
89,Marsa Matruh,EG,31.3525,27.2453,53.6,76,0,6.91,clear sky
90,Salmas,IR,38.1973,44.7653,37.4,65,0,4.61,clear sky
91,Marrakesh,MA,31.6315,-8.0083,55.4,88,75,2.3,broken clouds
92,Araouane,ML,18.9048,-3.5265,79.52,17,99,11.83,overcast clouds
93,Alberdi,AR,-32.8899,-60.6906,82.4,39,0,5.75,clear sky
94,Mataura,NZ,-46.1927,168.8643,55.99,69,95,11.99,overcast clouds
95,Kabarnet,KE,0.4919,35.743,59.54,65,38,3.85,scattered clouds
96,Mar Del Plata,AR,-38.0023,-57.5575,77.0,50,0,8.05,clear sky
97,Kochi,IN,9.9399,76.2602,78.8,94,20,2.3,mist
98,Pemba,MZ,-12.974,40.5178,75.2,94,40,3.44,moderate rain
99,Nhulunbuy,AU,-12.2333,136.7667,84.2,84,40,6.91,scattered clouds
100,Carnarvon,AU,-24.8667,113.6333,77.0,100,0,8.05,clear sky
101,Punta Arenas,CL,-53.15,-70.9167,48.2,49,20,25.32,few clouds
102,Mumbwa,ZM,-14.9783,27.0619,64.56,97,96,2.91,overcast clouds
103,Kyabe,TD,9.4515,18.9449,78.84,16,0,3.2,clear sky
104,Hermanus,ZA,-34.4187,19.2345,61.0,91,99,7.54,overcast clouds
105,Faanui,PF,-16.4833,-151.75,82.13,77,100,19.22,overcast clouds
106,Altamont,US,42.2068,-121.7372,46.4,29,1,9.22,clear sky
107,Arraial Do Cabo,BR,-22.9661,-42.0278,75.97,85,77,5.55,moderate rain
108,Cherskiy,RU,68.75,161.3,-20.27,87,100,2.06,overcast clouds
109,Nioro,GM,13.35,-15.75,79.92,23,0,7.09,clear sky
110,Nanortalik,GL,60.1432,-45.2371,31.42,95,100,15.14,light snow
111,Talnakh,RU,69.4865,88.3972,-11.96,89,100,5.23,overcast clouds
112,Ambilobe,MG,-13.2,49.05,74.84,96,100,3.94,heavy intensity rain
113,Saint-Philippe,RE,-21.3585,55.7679,77.0,88,15,5.75,few clouds
114,Cape Town,ZA,-33.9258,18.4232,61.0,77,0,8.05,clear sky
115,Merauke,ID,-8.4667,140.3333,78.4,88,31,6.91,scattered clouds
116,Whitehorse,CA,60.7161,-135.0538,21.2,49,75,9.22,broken clouds
117,Kapaa,US,22.0752,-159.319,75.2,69,40,12.66,light rain
118,La Ronge,CA,55.1001,-105.2842,46.4,36,18,8.05,few clouds
119,Tessalit,ML,20.1986,1.0114,78.98,17,96,10.38,overcast clouds
120,Sao Filipe,CV,14.8961,-24.4956,70.57,76,7,10.89,clear sky
121,Khash,IR,28.2211,61.2158,46.78,48,0,3.29,clear sky
122,Kimberley,ZA,-28.7323,24.7623,60.8,51,0,2.91,clear sky
123,East London,ZA,-33.0153,27.9116,68.86,81,50,7.7,scattered clouds
124,Santa Maria,BR,-29.6842,-53.8069,73.4,68,0,3.44,clear sky
125,Airai,TL,-8.9266,125.4092,63.39,100,33,0.78,scattered clouds
126,Saldanha,ZA,-33.0117,17.9442,59.0,77,20,4.61,few clouds
127,Lagoa,PT,39.05,-27.9833,60.19,97,96,14.16,overcast clouds
128,Mozarlandia,BR,-14.7447,-50.5706,75.15,89,84,6.46,broken clouds
129,Cognac,FR,45.5,-0.25,46.4,76,90,1.14,overcast clouds
130,Hithadhoo,MV,-0.6,73.0833,83.05,68,0,9.42,clear sky
131,Contamana,PE,-7.3333,-75.0167,75.61,94,99,5.61,light rain
132,Quatre Cocos,MU,-20.2078,57.7625,78.01,88,40,5.75,scattered clouds
133,Havoysund,NO,70.9963,24.6622,24.8,58,40,4.61,scattered clouds
134,Shizunai,JP,42.3339,142.3669,31.84,92,85,12.57,overcast clouds
135,Tahoua,NE,14.8888,5.2692,81.18,13,100,11.54,overcast clouds
136,Isangel,VU,-19.55,169.2667,80.6,74,20,3.44,few clouds
137,Taoudenni,ML,22.6783,-3.9836,70.81,21,0,8.95,clear sky
138,Qaanaaq,GL,77.484,-69.3632,-13.9,63,0,6.85,clear sky
139,Kijang,KR,35.2442,129.2139,35.6,87,0,4.61,clear sky
140,San Cristobal,VE,7.7669,-72.225,82.4,65,75,4.61,broken clouds
141,Caravelas,BR,-17.7125,-39.2481,79.18,81,60,9.64,broken clouds
142,Liverpool,GB,53.4106,-2.9779,39.2,87,17,3.44,few clouds
143,Cuamba,MZ,-14.8031,36.5372,66.56,96,100,2.21,overcast clouds
144,Bardiyah,LY,31.7561,25.0865,60.44,61,0,11.32,clear sky
145,Bredasdorp,ZA,-34.5322,20.0403,60.8,82,100,3.44,overcast clouds
146,Pisco,PE,-13.7,-76.2167,77.0,69,40,23.02,light rain
147,Rawlins,US,41.7911,-107.2387,51.8,32,1,13.8,clear sky
148,Asau,RO,46.4333,26.4,36.0,51,0,2.3,clear sky
149,Bichena,ET,10.45,38.2,58.68,41,23,1.54,few clouds
150,Dunedin,NZ,-45.8742,170.5036,54.0,64,77,20.0,broken clouds
151,Soyo,AO,-6.1349,12.3689,79.05,87,58,4.56,broken clouds
152,Barrow,US,71.2906,-156.7887,-13.0,70,90,16.11,haze
153,Yulara,AU,-25.2406,130.9889,71.6,53,40,6.91,scattered clouds
154,Severnoye,RU,56.3491,78.3619,29.14,98,100,19.91,light snow
155,Dickinson,US,29.4608,-95.0513,64.4,32,1,13.8,clear sky
156,Fairbanks,US,64.8378,-147.7164,19.0,85,1,1.52,clear sky
157,Iqaluit,CA,63.7506,-68.5145,-2.2,71,90,8.05,overcast clouds
158,Georgetown,MY,5.4112,100.3354,79.0,88,20,3.44,light rain
159,Longyearbyen,SJ,78.2186,15.6401,6.8,66,20,11.5,few clouds
160,Green River,US,41.5286,-109.4662,51.8,25,1,11.5,clear sky
161,Rimouski,CA,48.4488,-68.524,23.0,68,81,21.85,broken clouds
162,Tazovskiy,RU,67.4667,78.7,-23.4,88,94,0.49,overcast clouds
163,Port Elizabeth,ZA,-33.918,25.5701,66.2,94,90,8.05,light rain
164,Tuatapere,NZ,-46.1333,167.6833,55.99,69,91,11.99,overcast clouds
165,Gamba,GA,-2.65,10.0,77.74,87,60,3.6,broken clouds
166,Waitati,NZ,-45.75,170.5667,54.0,64,88,20.0,overcast clouds
167,Itoman,JP,26.1247,127.6694,68.0,88,75,10.36,broken clouds
168,Dikson,RU,73.5069,80.5464,-19.39,87,99,9.82,overcast clouds
169,Tchollire,CM,8.4022,14.1698,77.38,17,18,3.27,few clouds
170,Guerrero Negro,MX,27.9769,-114.0611,64.13,56,8,16.58,clear sky
171,Chyhyryn,UA,49.0838,32.6555,31.33,91,68,15.93,broken clouds
172,Piacabucu,BR,-10.4056,-36.4344,79.07,78,8,13.85,clear sky
173,Sovkhoznyy,RU,45.2946,38.1138,35.6,60,1,6.71,clear sky
174,Russell,US,32.3502,-85.1999,66.2,14,1,6.91,clear sky
175,Sabha,LY,27.0377,14.4283,72.72,19,31,15.17,scattered clouds
176,Nome,US,64.5011,-165.4064,30.99,93,90,24.16,snow
177,Newport,GB,51.5877,-2.9984,32.0,85,3,4.03,clear sky
178,Haines Junction,CA,60.7522,-137.5108,23.0,50,100,9.22,overcast clouds
179,Namibe,AO,-15.1961,12.1522,75.94,82,42,3.49,scattered clouds
180,Severo-Kurilsk,RU,50.6789,156.125,15.84,91,96,28.68,light snow
181,Labuhan,ID,-6.8844,112.2051,76.87,86,98,6.62,overcast clouds
182,Mogadishu,SO,2.0371,45.3438,77.74,83,0,19.75,clear sky
183,Avarua,CK,-21.2078,-159.775,84.2,84,20,8.05,light rain
184,Novaya Bryan,RU,51.7159,108.2691,8.6,85,99,2.24,smoke
185,Makakilo City,US,21.3469,-158.0858,82.4,47,1,10.36,clear sky
186,Alegrete,BR,-29.7831,-55.7919,72.86,54,0,8.95,clear sky
187,Codrington,AU,-38.2667,141.9667,57.85,90,100,8.34,overcast clouds
188,Igarka,RU,67.4667,86.5833,-13.83,88,95,5.97,overcast clouds
189,Bauchi,NG,10.5,10.0,76.33,17,1,7.36,clear sky
190,Waingapu,ID,-9.6567,120.2641,79.23,76,50,2.55,scattered clouds
191,Camacha,PT,33.0833,-16.3333,60.8,94,75,12.66,broken clouds
192,Eureka,US,40.8021,-124.1637,53.01,71,1,16.11,clear sky
193,Fengrun,CN,39.8333,118.1167,31.91,87,18,2.33,few clouds
194,Katsuura,JP,35.1333,140.3,44.01,87,75,9.22,broken clouds
195,Lasa,IT,46.6166,10.7002,37.99,80,0,4.61,clear sky
196,Cabo San Lucas,MX,22.8909,-109.9124,78.8,35,40,16.11,scattered clouds
197,Agadir,MA,30.4202,-9.5982,59.0,88,40,11.5,scattered clouds
198,Ushtobe,KZ,45.2514,77.9838,35.73,80,79,3.74,broken clouds
199,Chokurdakh,RU,70.6333,147.9167,-13.67,89,100,11.16,overcast clouds
200,Urengoy,RU,65.9667,78.3667,-14.82,89,87,3.31,overcast clouds
201,Tingi,TZ,-11.3,35.0333,63.39,98,94,2.21,light rain
202,Comarapa,BO,-17.9,-64.4833,59.56,95,28,3.42,scattered clouds
203,Luanda,AO,-8.8368,13.2343,80.6,78,40,4.61,scattered clouds
204,Rudnogorsk,RU,57.2639,103.7519,12.31,95,100,11.92,overcast clouds
205,Smithers,CA,54.7804,-127.1743,33.8,60,75,3.44,light snow
206,San Patricio,US,28.017,-97.5169,69.8,35,40,20.71,scattered clouds
207,Fortuna,US,40.5982,-124.1573,53.01,58,20,13.8,few clouds
208,Tullahoma,US,35.362,-86.2094,57.2,24,1,6.91,clear sky
209,Cabudare,VE,10.0289,-69.0894,78.24,75,16,6.24,few clouds
210,Sept-Iles,CA,50.2001,-66.3821,26.6,54,54,10.36,broken clouds
211,Yingkou,CN,40.6648,122.2283,30.09,90,7,7.27,clear sky
212,Vanimo,PG,-2.6741,141.3028,79.63,78,100,3.47,overcast clouds
213,Varhaug,NO,58.6147,5.6457,28.99,74,0,2.3,clear sky
214,Kiunga,PG,-6.1219,141.2906,77.31,89,93,1.66,overcast clouds
215,Port Lincoln,AU,-34.7333,135.8667,63.19,70,18,15.55,few clouds
216,Henties Bay,NA,-22.116,14.2845,66.83,74,0,4.7,clear sky
217,Sarmanovo,RU,55.2553,52.5891,14.0,92,90,17.9,heavy snow
218,Oranjemund,NA,-28.55,16.4333,62.92,91,1,3.29,clear sky
219,Jacqueville,CI,5.2052,-4.4146,82.4,89,20,4.61,light rain
220,Kars,TR,40.602,43.095,28.4,100,75,8.05,light snow
221,Torbay,CA,47.6666,-52.7314,30.0,69,40,18.41,light snow
222,Lebu,CL,-37.6167,-73.65,60.94,88,70,14.97,broken clouds
223,Homer,US,59.6425,-151.5483,32.0,43,1,11.5,clear sky
224,Vila Velha,BR,-20.3297,-40.2925,82.99,100,90,2.3,heavy intensity rain
225,Akyab,MM,20.15,92.9,68.14,89,52,4.43,broken clouds
226,Constitucion,CL,-35.3333,-72.4167,66.83,74,2,16.89,clear sky
227,Aklavik,CA,68.2191,-135.0107,-9.4,70,82,5.75,broken clouds
228,Shakawe,BW,-18.3667,21.85,66.51,56,0,1.28,clear sky
